# x y z horizontalRadius verticalRadius
271.66 38.639 0.105017 1.90056 2.85083
348.182 40.767 3.75178 2.01762 3.02643
324.047 39.581 0.179694 3.76321 5.64482
160.992 39.81 0.0579793 2.85837 4.28755
149.433 40.322 0 1.67613 2.5142
283.041 40.472 2.04284 2.70904 4.06356
128.246 42.236 0.974722 0.95779 1.43669
225.793 42.608 0.70168 0.911789 1.36768
-137.247 17.823 4.16719 1.78384 2.67577
260.781 17.682 0.316426 3.88688 5.83031
134.952 18.36 0.921911 2.2076 3.3114
-231.153 18.885 2.98491 3.22144 4.83216
250.834 18.689 0 3.86469 5.79703
69.3966 18.804 2.51093 2.9811 4.47165
-82.7354 18.971 0.25988 5.41808 8.12712
170.215 18.846 1.99153 3.9527 5.92905
157.188 18.75 1.39362 1.44663 2.16994
-140.356 19.97 3.65729 1.57927 2.3689
96.4474 12.896 0.375796 5.79394 8.69091
-171.415 16.71 1.04103 5.29499 7.94248
130.441 15.99 0 3.05706 4.58559
-105.424 16.843 1.84794 4.59964 6.89946
-24.2667 17.617 0.20027 6.13051 9.19577
9.461 16.978 0.635561 4.45076 6.67615
133.555 22.634 0.993029 1.83142 2.74713
176.894 24.624 1.07643 1.71836 2.57754
-115.135 25.2 2.00049 3.19911 4.79867
-150.755 26.929 0.593309 2.96664 4.44996
-126.706 25.781 1.86987 3.52322 5.28483
142.261 27.418 0 2.40642 3.60963
56.4612 25.304 0.367643 6.03151 9.04727
300.8 26.046 0 5.76914 8.65372
-35.3183 27.681 1.60138 3.74795 5.62192
-92.3018 29.513 0 3.61161 5.41742
157.359 29.378 0.247333 4.46363 6.69544
23.4 30.674 0 7.01586 10.5238
-153.004 55.689 2.00153 0.239448 0.359171
100.266 56.094 0 1.16076 1.74115
-140.59 56.269 0.67327 1.0299 1.54486
-155.012 57.201 0.330367 0.610474 0.915711
-87.0702 58.202 1.1565 2.74583 4.11874
156.274 57.466 1.07565 3.65501 5.48251
203.054 57.317 2.07968 2.35828 3.53743
199.985 60.794 1.13493 2.46431 3.69646
341.734 62.176 0 5.06532 7.59798
-170.931 60.357 1.99261 2.93262 4.39893
228.769 60.85 0 5.24056 7.86085
168.316 60.954 0.385797 1.30053 1.9508
50.1543 62.132 1.30328 4.6245 6.93675
-29.6435 62.389 1.25584 1.84701 2.77051
-220.614 62.436 2.73872 4.4572 6.6858
-11.904 63.014 1.96164 0.586524 0.879787
219.096 63.139 0.947975 0.414738 0.622107
211.011 63.989 0.554196 2.4183 3.62745
220.596 64.039 0.801793 0.29326 0.43989
179.586 64.103 1.35115 3.15399 4.73098
76.2815 64.526 1.90203 2.5566 3.8349
-48.229 43.464 0.463916 0.33863 0.507945
128.936 43.959 0.838321 0.3786 0.5679
208.82 45.543 0.391111 1.69315 2.53972
146.296 46.593 0.116372 1.05737 1.58606
-5.3553 36.925 0.222086 6.16316 9.24474
-223.215 39.846 0.598772 5.68405 8.52607
39.6305 39.585 0 4.91889 7.37833
102.842 39.765 0.679769 3.84237 5.76355
9.5753 41.761 0 5.03125 7.54687
58.8528 40.948 0 3.90894 5.86341
137.2 41.91 0 4.99407 7.49111
202.295 41.869 0.383727 2.9811 4.47165
-85.641 43.071 0 4.77396 7.16095
-133.96 43.141 1.74433 5.36224 8.04336
143.599 42.565 0 1.63281 2.44922
-55.3461 44.016 0 4.78895 7.18343
151.475 44.317 0.163705 1.82358 2.73537
164.932 44.786 0 2.0105 3.01576
79.1581 46.604 0 5.08509 7.62764
-46.9949 47.875 0.619623 0.561555 0.842332
-155.771 48.575 0.527245 3.27002 4.90503
108.871 48.667 1.46374 3.96356 5.94534
190.832 49.52 0 2.14168 3.21253
227.06 50.163 0.220683 0.846575 1.26986
44.806 50.432 0.105728 1.60626 2.40939
-150.991 54.3 2.21995 1.47605 2.21408
-71.818 51.483 1.50711 1.19724 1.79586
274.179 50.306 0 3.65893 5.48839
210.003 51.178 0.282504 1.5518 2.3277
-44.11 51.79 2.60622 3.78221 5.67332
199.089 52.488 1.23596 2.48841 3.73262
138.189 53.051 0 1.90056 2.85083
-74.7285 53.974 1.29257 1.77579 2.66369
-4.3415 53.321 0 5.38624 8.07936
331.627 53.095 0 4.38261 6.57391
217.467 53.475 0.781048 3.82742 5.74113
87.7479 54.841 0.00967395 5.41543 8.12315
-60.1043 56.58 1.13345 3.08507 4.6276
59.6293 56.809 1.68326 4.33988 6.50983
250.274 57.462 1.68783 4.01744 6.02616
29.3863 59.598 1.28793 6.16548 9.24823
94.0713 92.109 1.37342 3.19463 4.79194
-20.9371 92.446 2.1436 2.73012 4.09518
234.429 93.606 0.384536 0.507945 0.761917
-166.804 83.139 0.638772 0.169315 0.253972
-167.104 83.439 0.531189 0.169315 0.253973
287.351 80.048 3.64213 1.37552 2.06328
212.816 80.259 0 0.3786 0.5679
261.23 81.38 1.18619 2.97629 4.46443
-166.004 82.359 0.602277 0.655754 0.983632
-34.7359 82.648 1.56335 4.17491 6.26237
114 82.786 1.62802 2.48264 3.72397
246.941 84.005 0.996738 3.39475 5.09213
325.853 83.909 0.247053 3.8461 5.76914
106.041 84.52 0.663719 3.78978 5.68467
-132.978 88.353 0 6.65949 9.98923
175.776 88.925 0.423582 1.61516 2.42274
67.696 88.889 0 0.718343 1.07751
-167.859 89.19 0.353655 3.94544 5.91816
-45.3196 124.38 1.87623 2.57651 3.86476
